"feedback","translation"
"Vieš, ktorý obrázok je šiesty? Vyber obrázok hneď pred ním.","Do you know which picture is sixth? Pick the picture right before it."
"Vieš, ktorý obrázok je šiesty? Vyber obrázok hneď za ním.","Do you know which picture is sixth? Pick the picture right after it."
"Vieš, ktorý obrázok je štvrtý? Vyber obrázok hneď pred ním.","Do you know which picture is fourth? Pick the picture right before it."
"Vieš, ktorý obrázok je štvrtý? Vyber obrázok hneď za ním.","Do you know which picture is fourth? Pick the picture right after it."
"Víš, kde je druhý obrázek? Vyber obrázek hned za ním.","Do you know where the second picture is? Pick the picture right after it."
"Visieť na strome znamená držať sa stromu a byť hore vo vzduchu.","Hanging on a tree means holding onto the tree and being up in the air."
"Visieť zo stromu znamená držať sa stromu a byť vo vzduchu.","Hanging from a tree means holding onto the tree and being in the air."
"Visieť zo stromu znamená držať sa stromu a nemať nohy na zemi.","Hanging from a tree means holding onto the tree and not having your feet on the ground."
"Visieť zo stromu znamená držať sa stromu a visieť dole hlavou alebo za ruky.","Hanging from a tree means holding onto the tree and hanging upside down or by your hands."
"Vľavo dole znamená, že niečo je úplne na ľavej strane a úplne dole.","Bottom left means something is all the way on the left side and all the way at the bottom."
"Vľavo hore znamená, že niečo je úplne na ľavej strane a úplne hore.","Top left means something is all the way on the left side and all the way at the top."
"Vľavo v strede znamená, že niečo je na ľavej strane a nie je ani hore, ani dole, ale práve medzi tým.","Middle left means something is on the left side and it’s not at the top or the bottom, but right in between."
"Vľavo v strede znamená, že niečo je na ľavej strane a nie je ani hore, ani dole, ale práve v strede.","Middle left means something is on the left side and it’s not at the top or the bottom, but right in the middle."
"Vľavo v strede.","Middle left."
"Vlevo uprostřed znamená vlevo uprostřed. Víš, co to znamená vlevo uprostřed?","Middle left means middle left. Do you know what middle left means?"
"Vpravo dole znamená, že niečo je úplne na pravej strane a úplne dole.","Bottom right means something is all the way on the right side and all the way at the bottom."
"Vpravo hore znamená, že niečo je úplne na pravej strane a úplne hore.","Top right means something is all the way on the right side and all the way at the top."
"Vpravo hore.","Top right."
"vpravo nahoře

Vpravo nahoře znamená, že něco je úplně na pravé straně a úplně nahoře.","Top right

Top right means something is all the way on the right side and all the way at the top."
"Vpravo v strede znamená, že niečo je na pravej strane a nie je ani hore, ani dole, ale práve medzi tým.","Right in the middle means something is on the right side, not at the top or bottom, but right in between."
"Vpravo v strede.","Right in the middle."
"Všechny mezi farmářem a komárem.","All the ones between the farmer and the mosquito."
"Všechny mezi farmářem a tričkem.","All the ones between the farmer and the t-shirt."
"Všechny mezi hroznem a balónkem.","All the ones between the grapes and the balloon."
"Všechny mezi hroznem a princeznou.","All the ones between the grapes and the princess."
"Všechny mezi jablkem a zebrou.","All the ones between the apple and the zebra."
"Všechny mezi kočičkou a mrkvičkou.","All the ones between the kitty and the carrot."
"Všechny mezi komárem a jahodou.","All the ones between the mosquito and the strawberry."
"Všechny mezi králíkem a kýblem.","All the ones between the rabbit and the bucket."
"Všechny mezi krávou a bonbonem.","All the ones between the cow and the candy."
"Všechny mezi krávou a housenkou.","All the ones between the cow and the caterpillar."
"Všechny mezi kuřecím stehnem a taškou.","All the ones between the chicken leg and the bag."
"Všechny mezi lanovkou a mrkví.","All the ones between the cable car and the carrot."
"Všechny mezi lanovkou a salátem.","All the ones between the cable car and the lettuce."
"Všechny mezi listem a psem.","All the ones between the leaf and the dog."
"Všechny mezi listnatým stromem a hroznem.","All the ones between the leafy tree and the grapes."
"Všechny mezi motýlem a kýblem.","All the ones between the butterfly and the bucket."
"Všechny mezi motýlem a lanovkou.","All the ones between the butterfly and the cable car."
"Všechny mezi okurkou a diamantem.","All the ones between the cucumber and the diamond."
"Všechny mezi prasátkem a kalhotami.","All the ones between the piglet and the pants."
"Všechny mezi prasátkem a kelímkem.","All the ones between the piglet and the cup."
"Všechny mezi šaty a bonbónem.","All the ones between the dress and the candy."
"Všechny mezi svíčkou a mrkví.","All the ones between the candle and the carrot."
"Všechny mezi vrtulníkem a květinou.","All the ones between the helicopter and the flower."
"Všetky medzi ? a ?.","All the ones between ? and ?."
"Všetky medzi autobusom a cukríkom.","All the ones between the bus and the candy."
"Všetky medzi autobusom a diamantom.","All the ones between the bus and the diamond."
"Všetky medzi autobusom a jahodou.","All the ones between the bus and the strawberry."
"Všetky medzi autobusom a kyticou.","All the ones between the bus and the bouquet."
"Všetky medzi autobusom a lanovkou.","All the ones between the bus and the cable car."
"Všetky medzi autobusom a melónom.","All the ones between the bus and the watermelon."
"Všetky medzi autobusom a mrkvou.","All the ones between the bus and the carrot."
"Všetky medzi autobusom a téglikom.","All the ones between the bus and the cup."
"Všetky medzi autobusom a zmrzlinou.","All the ones between the bus and the ice cream."
"Všetky medzi balónom a zmrzlinou.","All the ones between the balloon and the ice cream."
"Všetky medzi brokolicou a autobusom.","All the ones between the broccoli and the bus."
"Všetky medzi brokolicou a balónom.","All the ones between the broccoli and the balloon."
"Všetky medzi brokolicou a listom.","All the ones between the broccoli and the leaf."
"Všetky medzi brokolicou a mačiatkom.","All the ones between the broccoli and the kitten."
"Všetky medzi brokolicou a melónom.","All the ones between the broccoli and the watermelon."
"Všetky medzi brokolicou a motýľom.","All the ones between the broccoli and the butterfly."
"Všetky medzi brokolicou a šteniatkom.","All the ones between the broccoli and the puppy."
"Všetky medzi brokolicou a sviečkou.","All the ones between the broccoli and the candle."
"Všetky medzi brokolicou a trúbkou.","All the ones between the broccoli and the trumpet."
"Všetky medzi brokolicou a vedrom.","All the ones between the broccoli and the bucket."
"Všetky medzi cukríkom a balónom.","All the ones between the candy and the balloon."
"Všetky medzi cukríkom a kvetom.","All the ones between the candy and the flower."
"Všetky medzi cukríkom a mrkvou.","All the ones between the candy and the carrot."
"Všetky medzi cukríkom a sviečkou.","All the ones between the candy and the candle."
"Všetky medzi cukríkom a zmrzlinou.","All the ones between the candy and the ice cream."
"Všetky medzi diamantom a električkou.","All the ones between the diamond and the tram."
"Všetky medzi diamantom a šalátom.","All the ones between the diamond and the lettuce."
"Všetky medzi diviakom a diamantom.","All the ones between the wild boar and the diamond."
"Všetky medzi diviakom a električkou.","All the ones between the wild boar and the tram."
"Všetky medzi diviakom a hrošíkom.","All the ones between the wild boar and the little hippo."
"Všetky medzi diviakom a hroznom.","All the ones between the wild boar and the grapes."
"Všetky medzi diviakom a koláčom.","All the ones between the wild boar and the cake."
"Všetky medzi diviakom a kvetom.","All the ones between the wild boar and the flower."
"Všetky medzi diviakom a mrkvou.","All the ones between the wild boar and the carrot."
"Všetky medzi diviakom a netopierom.","All the ones between the wild boar and the bat."
"Všetky medzi diviakom a princeznou.","All the ones between the wild boar and the princess."
"Všetky medzi diviakom a šalátom.","All the ones between the wild boar and the lettuce."
"Všetky medzi diviakom a šteniatkom.","All the ones between the wild boar and the puppy."
"Všetky medzi diviakom a sviečkou.","All the ones between the wild boar and the candle."
"Všetky medzi diviakom a taškou.","All the ones between the wild boar and the bag."
"Všetky medzi drakom a balónom.","All the ones between the dragon and the balloon."
"Všetky medzi drakom a hrošíkom.","All the ones between the dragon and the little hippo."
"Všetky medzi drakom a jahodou.","All the ones between the dragon and the strawberry."
"Všetky medzi drakom a kvetom.","All the ones between the dragon and the flower."
"Všetky medzi drakom a mrkvou.","All the ones between the dragon and the carrot."
"Všetky medzi drakom a princeznou.","All the ones between the dragon and the princess."
"Všetky medzi drakom a sviečkou.","All the ones between the dragon and the candle."
"Všetky medzi drakom a vedrom.","All the ones between the dragon and the bucket."
"Všetky medzi druhým cukríkom a treťou lanovkou.","All the ones between the second candy and the third cable car."
